,name,year_of_release,genre,platform,na_sales,eu_sales,jp_sales,other_sales
15795,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,,Misc,DS,0.0,0.0,0.02,0.0
16288,Shorts,,Platform,DS,0.01,0.0,0.0,0.0
2965,Shrek the Third,2007.0,Action,X360,0.54,0.09,0.0,0.06
5697,Shrek the Third,2007.0,Action,PSP,0.08,0.15,0.0,0.09
5932,Shrek the Third,,Action,DS,0.26,0.01,0.0,0.02
6137,Shrek the Third,2007.0,Action,Wii,0.25,0.01,0.0,0.02
4073,Shrek the Third,2007.0,Action,PS2,0.4,0.02,0.0,0.07
4373,Silent Hill: Homecoming,,Action,X360,0.25,0.15,0.0,0.04
4959,Silent Hill: Homecoming,,Action,PS3,0.18,0.14,0.0,0.06
6861,Singularity,,Shooter,PS3,0.17,0.04,0.01,0.03
13265,Singularity,2010.0,Shooter,PC,0.0,0.04,0.0,0.01
5624,Singularity,,Shooter,X360,0.24,0.05,0.0,0.02
5800,Slot Machine,,Action,2600,0.29,0.02,0.0,0.0
14559,Smashing Drive,2004.0,Racing,GBA,0.02,0.01,0.0,0.0
14050,Smashing Drive,2002.0,Racing,XB,0.03,0.01,0.0,0.0
11832,Smashing Drive,,Racing,GC,0.06,0.01,0.0,0.0
1745,Sonic the Hedgehog,2006.0,Platform,PS3,0.41,0.06,0.04,0.66
4127,Sonic the Hedgehog,,Platform,PS3,0.0,0.48,0.0,0.0
1996,Sonic the Hedgehog,2006.0,Platform,X360,0.44,0.48,0.0,0.11
257,Sonic the Hedgehog,1991.0,Platform,GEN,3.03,0.91,0.26,0.13
609,Space Invaders,,Shooter,2600,2.36,0.14,0.0,0.03
8580,Space Invaders,1999.0,Shooter,N64,0.13,0.03,0.0,0.0
10383,Space Invaders,2002.0,Shooter,GBA,0.08,0.03,0.0,0.0
4264,Space Invaders,1994.0,Shooter,SNES,0.0,0.0,0.46,0.0
8500,Splatterhouse,,Action,PS3,0.13,0.02,0.0,0.02
8146,Splatterhouse,2010.0,Action,X360,0.14,0.03,0.0,0.01
9729,Star Trek: Conquest,2007.0,Strategy,Wii,0.11,0.01,0.0,0.01
10050,Star Trek: Conquest,,Strategy,PS2,0.06,0.04,0.0,0.01
15971,Star Trek: Legacy,2006.0,Simulation,PC,0.0,0.01,0.0,0.0
8023,Star Trek: Legacy,,Simulation,X360,0.14,0.02,0.0,0.01
5769,Star Wars Jedi Knight II: Jedi Outcast,,Shooter,XB,0.23,0.07,0.0,0.01
6984,Star Wars Jedi Knight II: Jedi Outcast,2002.0,Shooter,GC,0.18,0.05,0.0,0.01
15292,Steal Princess,,Platform,DS,0.02,0.0,0.0,0.0
9485,Street Fighter IV,,Fighting,PC,0.07,0.05,0.0,0.02
490,Street Fighter IV,2009.0,Fighting,X360,1.82,0.7,0.15,0.26
280,Street Fighter IV,2009.0,Fighting,PS3,2.03,1.04,0.58,0.52
9817,Street Hoops,,Sports,GC,0.09,0.02,0.0,0.0
2266,Street Hoops,2002.0,Sports,PS2,0.45,0.35,0.0,0.12
6102,Street Hoops,2002.0,Sports,XB,0.21,0.06,0.0,0.01
2108,Suikoden III,,Role-Playing,PS2,0.29,0.23,0.38,0.08
4437,Super Breakout,,Puzzle,2600,0.41,0.03,0.0,0.0
14769,Super Duper Sumos,,Action,GBA,0.02,0.01,0.0,0.0
11119,Super Puzzle Fighter II,,Puzzle,GBA,0.06,0.02,0.0,0.0
9738,Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,,Strategy,PSP,0.0,0.0,0.12,0.0
8364,Sword of the Samurai,,Fighting,PS2,0.0,0.0,0.17,0.0
14252,Swords,,Fighting,Wii,0.03,0.0,0.0,0.0
4648,TERA,,Role-Playing,PC,0.25,0.12,0.0,0.05
6587,Teen Titans,2006.0,Action,PS2,0.12,0.1,0.0,0.03
5530,Teen Titans,2006.0,Action,GC,0.25,0.07,0.0,0.01
8212,Teen Titans,,Action,GBA,0.13,0.05,0.0,0.0
7735,Test Drive Unlimited 2,,Racing,PC,0.05,0.11,0.0,0.03
2969,Test Drive Unlimited 2,,Racing,X360,0.3,0.31,0.0,0.07
3233,Test Drive Unlimited 2,,Racing,PS3,0.16,0.34,0.01,0.12
4483,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005.0,Action,PS2,0.36,0.01,0.0,0.06
7599,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005.0,Action,XB,0.15,0.04,0.0,0.01
8087,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005.0,Action,DS,0.15,0.01,0.0,0.01
3024,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",,Action,GBA,0.48,0.18,0.0,0.01
6180,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",,Action,GC,0.22,0.06,0.0,0.01
4294,The Chronicles of Riddick: Escape from Butcher Bay,,Shooter,XB,0.32,0.11,0.0,0.02
10993,The Daring Game for Girls,,Adventure,Wii,0.09,0.0,0.0,0.01
9855,The Daring Game for Girls,,Adventure,DS,0.11,0.0,0.0,0.01
5857,The Dukes of Hazzard II: Daisy Dukes It Out,,Racing,PS,0.17,0.11,0.0,0.02
5070,The Golden Compass,,Action,PSP,0.11,0.16,0.0,0.1
6108,The Golden Compass,2007.0,Action,PS3,0.14,0.1,0.0,0.05
4272,The Golden Compass,2007.0,Action,X360,0.3,0.12,0.0,0.04
3826,The Golden Compass,2007.0,Action,PS2,0.13,0.0,0.0,0.39
3351,The Golden Compass,2007.0,Action,DS,0.28,0.25,0.0,0.06
3352,The Golden Compass,,Action,Wii,0.26,0.28,0.0,0.07
11455,The Hidden,,Adventure,3DS,0.08,0.0,0.0,0.01
13647,The History Channel: Great Battles - Medieval,,Strategy,PS3,0.0,0.03,0.0,0.01
9635,The History Channel: Great Battles - Medieval,2010.0,Strategy,X360,0.08,0.04,0.0,0.01
14931,The King of Fighters: Maximum Impact - Maniax,,Fighting,XB,0.02,0.01,0.0,0.0
6255,The Legend of Zelda: The Minish Cap(weekly JP sales),,Action,GBA,0.0,0.0,0.27,0.01
7968,The Lord of the Rings: War in the North,2011.0,Action,PC,0.05,0.11,0.0,0.03
2453,The Lord of the Rings: War in the North,,Action,X360,0.52,0.24,0.0,0.08
2522,The Lord of the Rings: War in the North,,Action,PS3,0.25,0.42,0.01,0.13
4094,Tiger Woods PGA Tour 07,2006.0,Sports,X360,0.44,0.0,0.0,0.04
6327,Tiger Woods PGA Tour 07,2006.0,Sports,PSP,0.2,0.04,0.0,0.03
4205,Tiger Woods PGA Tour 07,,Sports,Wii,0.43,0.0,0.0,0.04
3947,Tiger Woods PGA Tour 07,2006.0,Sports,PS3,0.31,0.12,0.0,0.07
2834,Tiger Woods PGA Tour 07,2006.0,Sports,PS2,0.6,0.02,0.0,0.1
7964,Tiger Woods PGA Tour 07,2006.0,Sports,XB,0.13,0.05,0.0,0.01
12784,Tom Clancy's Rainbow Six: Critical Hour,,Shooter,XB,0.04,0.01,0.0,0.0
12100,Tom and Jerry in War of the Whiskers,2003.0,Fighting,GC,0.05,0.01,0.0,0.0
6477,Tom and Jerry in War of the Whiskers,2002.0,Fighting,PS2,0.13,0.1,0.0,0.03
14749,Tom and Jerry in War of the Whiskers,,Fighting,XB,0.02,0.01,0.0,0.0
5336,Tomb Raider (2013),,Action,PC,0.06,0.25,0.0,0.04
646,Tomb Raider (2013),2013.0,Action,PS3,0.6,1.26,0.08,0.48
1384,Tomb Raider (2013),2014.0,Action,PS4,0.47,0.65,0.06,0.22
910,Tomb Raider (2013),2013.0,Action,X360,0.86,0.84,0.01,0.17
3309,Tomb Raider (2013),2014.0,Action,XOne,0.35,0.21,0.0,0.05
6999,Tony Hawk's Downhill Jam,,Sports,Wii,0.21,0.0,0.0,0.02
7189,Tony Hawk's Downhill Jam,2006.0,Sports,DS,0.2,0.0,0.0,0.02
12003,Tornado,,Action,DS,0.07,0.0,0.0,0.0
13195,Tour de France 2011,,Racing,X360,0.0,0.04,0.0,0.01
9380,Transworld Surf,,Sports,XB,0.1,0.03,0.0,0.0
7870,Transworld Surf,2002.0,Sports,PS2,0.09,0.07,0.0,0.02
8250,Trauma Team,,Simulation,Wii,0.14,0.0,0.02,0.01
7008,Tribes: Aerial Assault,,Shooter,PS2,0.11,0.09,0.0,0.03
1301,Triple Play 99,,Sports,PS,0.81,0.55,0.0,0.1
5326,Tropico 4,,Strategy,X360,0.2,0.12,0.0,0.03
6379,Tropico 4,2011.0,Strategy,PC,0.1,0.13,0.0,0.04
15006,Tube Slider,,Racing,GC,0.02,0.0,0.0,0.0
8150,Twisted Metal: Small Brawl,,Action,PS,0.1,0.07,0.0,0.01
15022,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,,Adventure,PS3,0.0,0.0,0.02,0.0
6133,Unreal Championship 2: The Liandri Conflict,,Shooter,XB,0.22,0.05,0.0,0.01
7391,Valkyria Chronicles III: Unrecorded Chronicles,,Strategy,PSP,0.0,0.0,0.21,0.0
8632,Vegas Party,,Misc,Wii,0.15,0.0,0.0,0.01
16522,Virtua Quest,,Role-Playing,GC,0.01,0.0,0.0,0.0
15754,Virtua Quest,,Role-Playing,PS2,0.01,0.01,0.0,0.0
9151,WCW Backstage Assault,,Action,N64,0.11,0.03,0.0,0.0
7322,WCW Backstage Assault,1999.0,Action,PS,0.12,0.08,0.0,0.01
7584,WRC: FIA World Rally Championship,,Racing,PS3,0.0,0.14,0.01,0.04
14233,WRC: FIA World Rally Championship,2005.0,Racing,PSP,0.02,0.01,0.0,0.0
9827,WRC: FIA World Rally Championship,,Racing,X360,0.0,0.1,0.0,0.02
16180,WRC: FIA World Rally Championship,,Racing,PC,0.0,0.01,0.0,0.0
2773,WarioWare: Twisted!,,Puzzle,GBA,0.16,0.06,0.5,0.02
3278,Wet,2009.0,Shooter,PS3,0.22,0.27,0.01,0.11
3997,Wet,,Shooter,X360,0.23,0.21,0.01,0.05
1577,Wheel of Fortune,1998.0,Misc,PS,0.99,0.22,0.0,0.04
4662,Wheel of Fortune,2010.0,Misc,DS,0.39,0.0,0.0,0.03
6670,Wheel of Fortune,1997.0,Misc,N64,0.2,0.05,0.0,0.0
2124,Wheel of Fortune,2010.0,Misc,Wii,0.86,0.04,0.0,0.06
2157,Wheel of Fortune,,Misc,PS2,0.47,0.36,0.0,0.12
15081,Wii de Asobu: Metroid Prime,,Shooter,Wii,0.0,0.0,0.02,0.0
15816,Without Warning,,Shooter,XB,0.01,0.0,0.0,0.0
14052,Without Warning,2005.0,Shooter,PS2,0.02,0.01,0.0,0.0
14685,World of Tanks,,Shooter,X360,0.0,0.03,0.0,0.0
6077,World of Tanks,2011.0,Shooter,PC,0.0,0.23,0.0,0.05
15704,Writing and Speaking Beautiful Japanese DS,,Misc,DS,0.0,0.0,0.02,0.0
2169,Yakuza 4,,Action,PS3,0.15,0.13,0.63,0.05
11957,Yoostar on MTV,,Misc,X360,0.07,0.0,0.0,0.01
7332,Yu Yu Hakusho: Dark Tournament,,Fighting,PS2,0.1,0.08,0.0,0.03
15557,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),,Racing,Wii,0.0,0.0,0.02,0.0
11433,Zero: Tsukihami no Kamen,,Action,Wii,0.0,0.0,0.08,0.0
8884,eJay Clubworld,,Misc,PS2,0.07,0.06,0.0,0.02
475,wwe Smackdown vs. Raw 2006,,Fighting,PS2,1.57,1.02,0.0,0.41
